Crop,ScientificName,Symbol,NuContAvailable,PlantPartHarvested,CropCategory,YieldUnit,AvYieldUnitWeight(lb),AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry),YieldUnitWeight(lb)_set,YieldUnitWeight(lb)_Bau,YieldUnitWeight(lb)_Joh,YieldUnitWeight(lb)_Roberts,YieldUnitWeight(lb)_WEEP,YieldUnitWeight(lb)_Men,YieldUnitWeight(lb)_Guy,YieldUnitWeight(lb)_Mc,YieldUnitWeight(lb)_Mah,YieldUnitWeight(lb)_Sha,YieldUnitWeight(lb)_Sch,YieldUnitWeight(lb)_Atu,YieldUnitWeight(lb)_Zim,YieldUnitWeight(lb)_Scu,YieldUnitWeight(lb)_John,YieldUnitWeight(lb)_Arc,DryMatter%_M-FF,DryMatter%_NAS,DryMatter%_F&L,DryMatter%_F&N,DryMatter%_Alb,DryMatter%_Est1,DryMatter%_Est2,DryMatter%_Est3,DryMatter%_Est4,DryMatter%_Est5,DryMatter%_Est6,DryMatter%_M&R,DryMatter%_M&L,DryMatter%_Sun,DryMatter%_Gro,DryMatter%_AgH8-9,DryMatter%_AgH8-12,DryMatter%_B788,AvDryMatter%,N%(dry)_NAS,N%(dry)_F&L,N%(dry)_F&N,N%(dry)_Swa,N%(dry)_Chapko,N%(dry)_Hill,N%(dry)_Bru,N%(dry)_AgH8-9,N%(dry)_AgH8-12,N%(dry)_B788,N%(dry)_M&L,N%(dry)_M-FF,N%(dry)_M&R,N%(dry)_Foster,N%(dry)_Rob1,N%(dry)_Rob2,N%(dry)_Coa,N%(dry)_And,N%(dry)_Gol1,N%(dry)_Gol2,N%(dry)_Wol,N%(dry)_Pete,N%(dry)_Col,N%(dry)_Alb,N%(dry)_Arc,N%(dry)_Bis,N%(dry)_Gar,N%(dry)_Heg,N%(dry)_Flo,N%(dry)_Feil,N%(dry)_Bre,N%(dry)_Burns,N%(dry)_Coc,P%(dry)_M-FF,P%(dry)_NAS,P%(dry)_F&L,P%(dry)_F&N,P%(dry)_AgH8-9,P%(dry)_AgH8-12,P%(dry)_B788,P%(dry)_M&L,P%(dry)_L&V,P%(dry)_Foster,P%(dry)_Rob1,P%(dry)_Rob2,P%(dry)_Coa,P%(dry)_And,P%(dry)_Gol1,P%(dry)_Gol2,P%(dry)_Sims,P%(dry)_Wol,P%(dry)_Pete,P%(dry)_Col,P%(dry)_Alb,P%(dry)_Arc,P%(dry)_Swa,P%(dry)_Rei,K%(dry)_M-FF,K%(dry)_NAS,K%(dry)_F&L,K%(dry)_F&N,K%(dry)_AgH8-9,K%(dry)_AgH8-12,K%(dry)_B788,K%(dry)_Foster,K%(dry)_Rob1,K%(dry)_Rob2,K%(dry)_Coa,K%(dry)_And,K%(dry)_Gol1,K%(dry)_Gol2,K%(dry)_Sims,K%(dry)_Wol,K%(dry)_Pete,K%(dry)_Col,K%(dry)_Alb,K%(dry)_Arc,K%(dry)_Swa,K%(dry)_Rei,Moisture%_M&R,Moisture%_M&L,Moisture%_Sun,Moisture%_Gro,gWater/100g_AgH8-9,gWater/100g_AgH8-12,gWater/100g_B788,Protein%(dry)_NAS,Protein%(dry)_F&L,Protein%(dry)_F&N,Protein%(dry)_Swa,Protein%(dry)_Chapko,Protein%(dry)_Hill,Protein%(dry)_Bru,Protein%(dry)_Bis,Protein%(dry)_Gar,Protein%(dry)_Heg,Protein%(dry)_Flo,Protein%(dry)_Feil,Protein%(dry)_Bre,Protein%(dry)_Burns,gProtein/100g(wet)_AgH8-9,gProtein/100g(wet)_AgH8-12,gProtein/100g(wet)_B788,Protein%(wet)_M&L,N%(wet)_M-FF,P%(wet)_M-FF,gP/100g(wet)_AgH8-9,gP/100g(wet)_AgH8-12,gP/100g(wet)_B788,P%(wet)_M&L,K%(wet)_M-FF,gK/100g(wet)_AgH8-9,gK/100g(wet)_AgH8-12,gK/100g(wet)_B788,
"Smooth Brome + Alfalfa, for hay","Medicago Sativa, Bromus inermis","MESA, BRIN2","N,P,K",Aboveground biomass,Forage,ton,2000,11.58,2.41770852,0.271053812,1.897746637,"2,000",,,,,,,,,,,,,,,,89.2,82.5,91,91,,,,,,,,,,,,,,,88.42,2.592,2.48,2.48,,,,,,,,,2.118834081,,,,,,,,,,,,,,,,,,,,,,0.224215247,0.3,0.28,0.28,,,,,,,,,,,,,,,,,,,,,1.860986547,1.85,1.94,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,15.5,15.5,,,,,,,,,,,,,,,,1.89,0.2,,,,,1.66,,,,
"Smooth Brome + Alfalfa, for hay (cut 1)","Medicago Sativa, Bromus inermis","MESA, BRIN2","N,P,K",Aboveground biomass,Forage,ton,2000,10.1,2.192,0.295,1.4,"2,000",,,,,,,,,,,,,,,,,89.9,89.9,,,,,,,,,,,,,,,,89.9,2.192,2.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.31,,,,,,,,,,,,,,,,,,,,,,,1.4,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smooth Brome + Alfalfa, for hay (cut 2)","Medicago Sativa, Bromus inermis","MESA, BRIN2","N,P",Aboveground biomass,Forage,ton,2000,10.2,2.192,0.21,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,89.8,89.8,,,,,,,,,,,,,,,,89.8,2.192,2.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sorghum, for grain",Sorghum bicolor,SOBI2,"N,P,K",Caryopsis,Cereal and oil,bu,56,11.18,1.867377828,0.332736562,0.386734323,56,,,,,,,,,,,,,,,,89.3,89,89.8,90,,,,,,,,86,,,,,,,88.82,1.952,1.856,1.936,,,,,,,,,1.942889138,1.65,,,,,,,,,,,,,,,,,,,,,0.335946249,0.31,0.34,0.345,,,,,,,,,,,,,,,,,,,,,0.39193729,0.39,0.4,0.365,,,,,,,,,,,,,,,,,,,14,,,,,,,12.2,11.6,12.1,,,,,,,,,,,,,,,,1.735,0.3,,,,,0.35,,,,
"Sorghum, for green chop",Sorghum bicolor,SOBI2,"N,P,K",Aboveground biomass,Forage,ton,2000,76.85,1.368,0.24,2.51,"2,000",,,,,,,,,,,,,,,,,,24.3,22,,,,,,,,,,,,,,,23.15,,1.312,1.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sorghum, for green chop (dough stage)",Sorghum bicolor,SOBI2,"N,P",Aboveground biomass,Forage,ton,2000,72.17,1.162666667,0.21,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,25.5,29,29,,,,,,,,,,,,,,,27.83,0.944,1.28,1.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,8,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sorghum, for green chop (mid bloom)",Sorghum bicolor,SOBI2,"N,P,K",Aboveground biomass,Forage,ton,2000,75.8,1.424,0.215,1.11,"2,000",,,,,,,,,,,,,,,,,21.5,26.9,,,,,,,,,,,,,,,,24.2,1.552,1.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.23,,,,,,,,,,,,,,,,,,,,,,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sorghum, for green chop (milk stage)",Sorghum bicolor,SOBI2,"N,P,K",Aboveground biomass,Forage,ton,2000,74.95,1.184963855,0.193493976,1.521927711,"2,000",,,,,,,,,,,,,,,,24.9,22.5,26.8,26,,,,,,,,,,,,,,,25.05,1.28,1.024,1.472,,,,,,,,,0.963855422,,,,,,,,,,,,,,,,,,,,,,0.120481928,0.2,0.26,,,,,,,,,,,,,,,,,,,,,,1.445783133,1.11,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6.4,9.2,,,,,,,,,,,,,,,,0.24,0.03,,,,,0.36,,,,
"Sorghum, for silage",Sorghum bicolor,SOBI2,"N,P,K",Aboveground biomass,Forage,ton,2000,71.6,1.012,0.21,1.11,"2,000",,,,,,,,,,,,,,,,,27.9,31.3,,,,,,,,,26,,,,,,,28.4,1.024,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0.2,0.22,,,,,,,,,,,,,,,,,,,,,,,1.11,,,,,,,,,,,,,,,,,,,,,74,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sorghum, for silage (dough stage)",Sorghum bicolor,SOBI2,"N,P,K",Aboveground biomass,Forage,ton,2000,73.9,0.968,0.2,1.11,"2,000",,,,,,,,,,,,,,,,,26.1,,,,,,,,,,,,,,,,,26.1,0.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sorghum, for silage (early bloom)",Sorghum bicolor,SOBI2,"N,P,K",Aboveground biomass,Forage,ton,2000,71.9,0.992,0.2,1.11,"2,000",,,,,,,,,,,,,,,,,28.1,,,,,,,,,,,,,,,,,28.1,0.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sorghum, for silage (mature)",Sorghum bicolor,SOBI2,"N,P,K",Aboveground biomass,Forage,ton,2000,66.1,1.2,0.2,1.11,"2,000",,,,,,,,,,,,,,,,,33.9,,,,,,,,,,,,,,,,,33.9,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sorghum, for silage (milk state)",Sorghum bicolor,SOBI2,"N,P,K",Aboveground biomass,Forage,ton,2000,75.2,1.344,0.185,1.145,"2,000",,,,,,,,,,,,,,,,,23.2,26.4,,,,,,,,,,,,,,,,24.8,1.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.17,,,,,,,,,,,,,,,,,,,,,,,1.11,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sorghum, for stover",Sorghum bicolor,SOBI2,"N,P,K",Stover,Cereal and oil,lb straw/bu grain,56,8.13,0.67210989,0.12896978,0.73,,56,,,56,,,,,,,,,,,,91,92.5,92.5,91.5,,,,,,,,,,,,,,,91.88,0.576,0.768,0.784,,,,,,,,,0.56043956,,,,,,,,,,,,,,,,,,,,,,0.120879121,0.12,0.14,0.135,,,,,,,,,,,,,,,,,,,,,,,0.635,0.825,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,4.8,4.9,,,,,,,,,,,,,,,,0.51,0.11,,,,,,,,,
"Sorghum/Sudangrass, for grain",Sorghum bicolor ssp. drummondii,SOBID,N,Aboveground biomass,Cereal and oil,bu,40,8.3,2.330666667,#DIV/0!,#DIV/0!,40,,,,,,,,,,,,,,,,,92.4,90.7,92,,,,,,,,,,,,,,,91.7,2.464,2.064,2.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,12.9,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sorghum/Sudangrass, for green chop",Sorghum bicolor ssp. drummondii,SOBID,"N,P,K",Aboveground biomass,Forage,ton,2000,78.25,1.848,0.23,2.565,"2,000",,,,,,,,,,,,,,,,,,20.5,23,,,,,,,,,,,,,,,21.75,,1.92,1.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.21,,,,,,,,,,,,,,,,,,,,,,,2.52,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sorghum/Sudangrass, for green chop (early bloom)",Sorghum bicolor ssp. drummondii,SOBID,"N,P,K",Aboveground biomass,Forage,ton,2000,76.6,1.28,0.3,1.45,"2,000",,,,,,,,,,,,,,,,,23.4,23.4,,,,,,,,,,,,,,,,23.4,1.296,1.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,1.45,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sorghum/Sudangrass, for green chop (full bloom)",Sorghum bicolor ssp. drummondii,SOBID,"N,P,K",Aboveground biomass,Forage,ton,2000,74.5,1.410666667,0.3,1.58,"2,000",,,,,,,,,,,,,,,,,23.6,29.9,,,,,,,,,23,,,,,,,25.5,1.296,1.536,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,1.58,,,,,,,,,,,,,,,,,,,,77,,,,,,,8.1,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sorghum/Sudangrass, for green chop (mature)",Sorghum bicolor ssp. drummondii,SOBID,"N,P,K",Aboveground biomass,Forage,ton,2000,70,0.88,0.21,1.82,"2,000",,,,,,,,,,,,,,,,,30.3,29.7,30,,,,,,,,,,,,,,,30,0.88,0.88,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,,,,,,,,5.5,5.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sorghum/Sudangrass, for green chop (vegetative)",Sorghum bicolor ssp. drummondii,SOBID,"N,P,K",Aboveground biomass,Forage,ton,2000,82.05,2.547333333,0.41,2.275,"2,000",,,,,,,,,,,,,,,,,17.6,18.2,18,,,,,,,,18,,,,,,,17.95,2.688,,2.304,,,,,,,,,,2.65,,,,,,,,,,,,,,,,,,,,,,,0.41,0.41,,,,,,,,,,,,,,,,,,,,,,,2.41,2.14,,,,,,,,,,,,,,,,,,,82,,,,,,,16.8,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sorghum/Sudangrass, for hay",Sorghum bicolor ssp. drummondii,SOBID,"N,P,K",Aboveground biomass,Forage,ton,2000,7.83,1.779429778,0.291143963,2.15,"2,000",,,,,,,,,,,,,,,,,,90.8,91,,,,,,,,,94.7,,,,,,92.17,,,1.92,,,,,,,,1.638859557,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.31,,,,0.25343189,,,,,,,,,,,,,,,,,,,2.22,2.08,,,,,,,,,,,,,,,,,,,,5.3,,,,,,,,12,,,,,,,,,,,,,,,9.7,,,,,,0.24,,,,,
"Sorghum/Sudangrass, for silage",Sorghum bicolor ssp. drummondii,SOBID,"N,P,K",Aboveground biomass,Forage,ton,2000,77,1.638,0.21,2.61,"2,000",,,,,,,,,,,,,,,,,,,23,,,,,,,,23,,,,,,,23,,,1.776,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,2.61,,,,,,,,,,,,,,,,,,,77,,,,,,,,,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sorghum/Sudangrass, for straw",Sorghum bicolor ssp. drummondii,SOBID,N,Straw,Cereal and oil,ton,2000,9.6,1.312,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,90.4,,,,,,,,,,,,,,,,,90.4,1.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soursop,Annona muricata,ANMU2,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,81.16,0.8492569,0.143312102,1.475583864,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.84,,,18.84,,,,,,,,0.8492569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143312102,,,,,,,,,,,,,,,,,,,,,,,,1.475583864,,,,,,,,,,,,,,,,,,,,,,81.16,,,,,,,,,,,,,,,,,1,,,,,,0.027,,,,,0.278,,,
"Soybean, for grain",Glycine max,GLMA4,"N,P,K",Seed,Cereal and oil,bu,60,10.12,6.567758454,0.672763285,1.541666667,60,,,,,,,,,,,,,,,,90,90.9,89.4,92,,,,,,,,85,92,,,,,,89.88,6.672,6.064,6.672,,,,,,,,6.76521739,6.733333333,6.5,,,,,,,,,,,,,,,,,,,,,0.655555556,0.63,0.7,0.65,,,,0.72826087,,,,,,,,,,,,,,,,,1.666666667,1.77,0.93,1.8,,,,,,,,,,,,,,,,,,,15,8,,,,,,41.7,37.9,41.7,,,,,,,,,,,,,,,38.9,6.06,0.59,,,,0.67,1.5,,,,
"Soybean, for green chop",Glycine max,GLMA4,"N,P,K",Aboveground biomass,Forage,ton,2000,76.85,2.9395,0.282916667,0.919166667,"2,000",,,,,,,,,,,,,,,,24,22.7,22.9,23,,,,,,,,,,,,,,,23.15,2.864,3.28,2.864,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,0.291666667,0.29,0.26,0.29,,,,,,,,,,,,,,,,,,,,,0.916666667,0.92,0.92,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,17.9,20.5,17.9,,,,,,,,,,,,,,,,0.66,0.07,,,,,0.22,,,,
"Soybean, for green chop (early bloom)",Glycine max,GLMA4,N,Aboveground biomass,Forage,ton,2000,80,2.55,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,
"Soybean, for green chop (full bloom)",Glycine max,GLMA4,"N,P,K",Aboveground biomass,Forage,ton,2000,82.27,2.934923077,0.288461538,1.057692308,"2,000",,,,,,,,,,,,,,,,20.8,16.2,16.2,,,,,,,,,,,,,,,,17.73,2.912,2.912,,,,,,,,,,2.980769231,,,,,,,,,,,,,,,,,,,,,,0.288461538,,,,,,,,,,,,,,,,,,,,,,,,1.057692308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,18.2,,,,,,,,,,,,,,,,,0.62,0.06,,,,,0.22,,,,
"Soybean, for green chop (mature)",Glycine max,GLMA4,"N,P,K",Aboveground biomass,Forage,ton,2000,75.8,2.644628099,0.289256198,0.867768595,"2,000",,,,,,,,,,,,,,,,24.2,,,,,,,,,,,,,,,,,,24.2,,,,,,,,,,,,2.644628099,,,,,,,,,,,,,,,,,,,,,,0.289256198,,,,,,,,,,,,,,,,,,,,,,,,0.867768595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,0.07,,,,,0.21,,,,
"Soybean, for green chop (mid bloom)",Glycine max,GLMA4,"N,P,K",Aboveground biomass,Forage,ton,2000,78.93,2.774923077,0.289487179,1.059230769,"2,000",,,,,,,,,,,,,,,,20.8,21.3,21.1,,,,,,,,,,,,,,,,21.07,2.672,2.672,,,,,,,,,,2.980769231,,,,,,,,,,,,,,,,,,,,,,0.288461538,0.29,0.29,,,,,,,,,,,,,,,,,,,,,,1.057692308,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,16.7,,,,,,,,,,,,,,,,,0.62,0.06,,,,,0.22,,,,
"Soybean, for hay",Glycine max,GLMA4,"N,P,K",Aboveground biomass,Forage,ton,2000,10.66,2.571179594,0.244972726,1.105743473,"2,000",,,,,,,,,,,,,,,,88.1,88.9,89.1,89,,,,,,,,,91.6,,,,,,89.34,2.352,2.56,2.528,,,,,,,,2.759825328,2.656072645,,,,,,,,,,,,,,,,,,,,,,0.249716232,,0.25,0.24,,,,0.240174672,,,,,,,,,,,,,,,,,1.23723042,,1.04,1.04,,,,,,,,,,,,,,,,,,,,8.4,,,,,,14.7,16,15.8,,,,,,,,,,,,,,,15.8,2.34,0.22,,,,0.22,1.09,,,,
"Soybean, for hay (early bloom)",Glycine max,GLMA4,"N,P",Aboveground biomass,Forage,ton,2000,11.23,3.01669697,0.388787879,#DIV/0!,"2,000",,,,,,,,,,,,,,,,88,89.4,88.9,,,,,,,,,,,,,,,,88.77,3.008,3.008,,,,,,,,,,3.034090909,,,,,,,,,,,,,,,,,,,,,,0.386363636,0.39,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,18.8,,,,,,,,,,,,,,,,,2.67,0.34,,,,,,,,,
"Soybean, for hay (full bloom)",Glycine max,GLMA4,N,Aboveground biomass,Forage,ton,2000,11.7,2.24,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,88.3,88.3,,,,,,,,,,,,,,,,88.3,2.24,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Soybean, for hay (mature)",Glycine max,GLMA4,"N,P,K",Aboveground biomass,Forage,ton,2000,10.27,2.454363636,0.28469697,0.880909091,"2,000",,,,,,,,,,,,,,,,88,91.1,90.1,,,,,,,,,,,,,,,,89.73,2.304,2.4,,,,,,,,,,2.659090909,,,,,,,,,,,,,,,,,,,,,,0.284090909,0.28,0.29,,,,,,,,,,,,,,,,,,,,,,1.022727273,0.81,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,15,,,,,,,,,,,,,,,,,2.34,0.25,,,,,0.9,,,,
"Soybean, for hay (mid-bloom)",Glycine max,GLMA4,"N,P,K",Aboveground biomass,Forage,ton,2000,7.1,2.44,0.27,0.97,"2,000",,,,,,,,,,,,,,,,,93.6,92.2,,,,,,,,,,,,,,,,92.9,2.848,2.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Soybean, for immature seed",Glycine max,GLMA4,"N,P,K",Seed,Vegetable,lb of seed,1,73,5.333333333,0.218518519,0.777777778,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,27,,,,,,,,,,5.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.218518519,,,,,,,,,,,,,,,,,,,,,,,,0.777777778,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,9,,,,,,0.059,,,,,0.21,
"Soybean, for straw",Glycine max,GLMA4,"N,P,K",Straw,Cereal and oil,lb straw/bu grain,96.75,11.07,0.832386256,0.058747657,0.572058493,60,,,,133.5,,,,,,,,,,,,88.9,87.5,87.9,88,,,,,,,,90,91.3,,,,,,88.93,0.832,0.784,0.832,,,,,,,,0.99890471,0.697412823,0.85,,,,,,,,,,,,,,,,,,,,,0.05624297,,0.06,0.06,,,,,,,,,,,,,,,,,,,,,0.596175478,,0.56,0.56,,,,,,,,,,,,,,,,,,,10,8.7,,,,,,5.2,4.9,5.2,,,,,,,,,,,,,,,5.7,0.62,0.05,,,,,0.53,,,,
Spinach,Spinacia oleracea,SPOL,"N,P,K",Leaf,Vegetable,lb of leaf,1,90.64,5.2056,0.556,5.6625,32,,,,,,,,,,,,,,,,,9.4,9.4,9,,,,,,,,9,,,,,,10,9.36,5.232,5.104,5.232,,,,,,,5.76,,,4.7,,,,,,,,,,,,,,,,,,,,,,0.54,0.54,0.54,,,0.66,,0.5,,,,,,,,,,,,,,,,,5.05,5.45,5.05,,,7.1,,,,,,,,,,,,,,,,91,,,,,,90,32.7,31.9,32.7,,,,,,,,,,,,,,3.6,,,,,,0.066,,,,,0.71,
Spinach-New Zealand,Tetragonia tetragonioides,TETE3,"N,P,K",Leaf,Vegetable,lb of leaf,1,94,4,0.466666667,2.166666667,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.466666667,,,,,,,,,,,,,,,,,,,,,,,,2.166666667,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,1.5,,,,,,0.028,,,,,0.13,
"Squash Straight neck, for immature fruit (summer)",Cucurbita pepo var. melopepo,CUPEM,"N,P,K",Fruit,Vegetable,lb of fruit ,1,94,2.666666667,0.466666667,3,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,2.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.466666667,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,1,,,,,,0.028,,,,,0.18,
"Squash-Acorn, for mature fruit (winter)",Cucurbita pepo,CUPE,"N,P,K",Fruit,Vegetable,lb of fruit ,1,86,0.914285714,0.257142857,3.714285714,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,,,,,,,,,,0.914285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257142857,,,,,,,,,,,,,,,,,,,,,,,,3.714285714,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,0.8,,,,,,0.036,,,,,0.52,
"Squash-Balsampear, for immature fruit (summer)",Momordica charantia,MOCH2,"N,P",Fruit,Vegetable,lb of fruit ,1,94,2.933333333,0.466666667,#DIV/0!,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,2.933333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.466666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,1.1,,,,,,0.028,,,,,,
"Squash-Butternut, for mature fruit (winter)",Cucurbita moschata,CUMO,"N,P,K",Fruit,Vegetable,lb of fruit ,1,85,1.066666667,0.22,2.666666667,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,,1.066666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,2.666666667,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,1,,,,,,0.033,,,,,0.4,
"Squash-Chinese wintermelon, for mature fruit (winter)",Benincasa hispida,BEHI3,"N,P,K",Fruit,Vegetable,lb of fruit ,1,96,0.8,0.175,5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,0.2,,,,,,0.007,,,,,0.2,
